"","i1","i2","i3","i4","value"
"2521","DK000000","BULL","FOTH","Y",6.73340647029614
"26161","DK000000","BULH","FGRA","Y",40.0883707849076
"26171","DK000000","BULH","FMAI","Y",1348.76657376886
"26181","DK000000","BULH","FOFA","Y",4181.07492813964
"26191","DK000000","BULH","FROO","Y",392.193444116764
"26201","DK000000","BULH","FCOM","Y",177.761545759322
"26211","DK000000","BULH","FSTR","Y",129.907772423013
"26221","DK000000","BULH","FCER","Y",35.6858800485486
"26231","DK000000","BULH","FPRO","Y",17.9916683255152
"26241","DK000000","BULH","FENE","Y",9.86596153639307
"26251","DK000000","BULH","FMIL","Y",0.941440566474692
"2626","DK000000","BULH","FOTH","Y",15.6982704817404
"2721","DK000000","HEIL","FGRA","Y",6050.93379382754
"27221","DK000000","HEIL","FMAI","Y",42.4522950540774
"27231","DK000000","HEIL","FOFA","Y",33.1104251113975
"27241","DK000000","HEIL","FROO","Y",10.8060387411103
"27251","DK000000","HEIL","FCOM","Y",99.0553551271383
"27261","DK000000","HEIL","FSTR","Y",178.308666568785
"27271","DK000000","HEIL","FCER","Y",13.3601713596699
"27281","DK000000","HEIL","FPRO","Y",187.881561843442
"27291","DK000000","HEIL","FENE","Y",13.2971184027892
"27301","DK000000","HEIL","FMIL","Y",1.26885216767045
"27311","DK000000","HEIL","FOTH","Y",21.1577716520313
"2826","DK000000","HEIH","FGRA","Y",12501.0079119501
"2827","DK000000","HEIH","FMAI","Y",1570.89686022624
"2828","DK000000","HEIH","FOFA","Y",59.5953210001121
"28291","DK000000","HEIH","FROO","Y",19.4497456718869
"28301","DK000000","HEIH","FCOM","Y",430.08460252062
"28311","DK000000","HEIH","FSTR","Y",338.422668578619
"28321","DK000000","HEIH","FCER","Y",24.0469187001049
"28331","DK000000","HEIH","FPRO","Y",24.2473597352408
"28341","DK000000","HEIH","FENE","Y",23.9334299366679
"28351","DK000000","HEIH","FMIL","Y",2.28380191369529
"28361","DK000000","HEIH","FOTH","Y",38.0817881070925
"2931","DK000000","SCOW","FGRA","Y",9188.62672219514
"2932","DK000000","SCOW","FMAI","Y",83.4699478979896
"29331","DK000000","SCOW","FOFA","Y",5616.81066865706
"29341","DK000000","SCOW","FROO","Y",21.2468958285825
"29351","DK000000","SCOW","FSTR","Y",445.876992179078
"29361","DK000000","SCOW","FCER","Y",27.5822884525364
"29371","DK000000","SCOW","FPRO","Y",31.3292029432843
"29381","DK000000","SCOW","FENE","Y",26.1448710571128
"29391","DK000000","SCOW","FMIL","Y",2.49482446567623
"29401","DK000000","SCOW","FOTH","Y",41.6005329081006
"30431","DK000000","HEIR","FGRA","Y",14330.9412811416
"30441","DK000000","HEIR","FMAI","Y",122.22170143295
"30451","DK000000","HEIR","FOFA","Y",95.3261181093113
"30461","DK000000","HEIR","FROO","Y",31.1109785465669
"30471","DK000000","HEIR","FCOM","Y",285.183970010177
"3048","DK000000","HEIR","FSTR","Y",596.896681416677
"3049","DK000000","HEIR","FCER","Y",38.4644192479794
"3050","DK000000","HEIR","FPRO","Y",246.29399161255
"3051","DK000000","HEIR","FENE","Y",38.2828874920365
"3052","DK000000","HEIR","FMIL","Y",3.6530715383229
"3053","DK000000","HEIR","FOTH","Y",60.9139940851365
"31481","DK000000","CAMF","FGRA","Y",29.2759747206451
"31491","DK000000","CAMF","FMAI","Y",23.0025515662165
"31501","DK000000","CAMF","FOFA","Y",2775.65063824111
"31511","DK000000","CAMF","FROO","Y",5.85519494412822
"3152","DK000000","CAMF","FCOM","Y",53.6726203211737
"3153","DK000000","CAMF","FSTR","Y",94.7323189039035
"3154","DK000000","CAMF","FCER","Y",26.0608975053899
"3155","DK000000","CAMF","FPRO","Y",146.18588614497
"3156","DK000000","CAMF","FENE","Y",7.20497328473571
"3157","DK000000","CAMF","FMIL","Y",0.687520836726848
"3158","DK000000","CAMF","FOTH","Y",11.4642266767691
"32511","DK000000","CAFF","FGRA","Y",26.1370780821124
"32521","DK000000","CAFF","FMAI","Y",20.536275635298
"32531","DK000000","CAFF","FOFA","Y",2434.18868555061
"32541","DK000000","CAFF","FROO","Y",5.22741561625113
"3255","DK000000","CAFF","FCOM","Y",451.983906123017
"3256","DK000000","CAFF","FSTR","Y",84.1020374775516
"3257","DK000000","CAFF","FCER","Y",23.2667133875313
"3258","DK000000","CAFF","FPRO","Y",133.930580823007
"3259","DK000000","CAFF","FENE","Y",6.43247410593372
"3260","DK000000","CAFF","FMIL","Y",0.613806575647488
"3261","DK000000","CAFF","FOTH","Y",10.2350610236009
"3354","DK000000","CAMR","FGRA","Y",41.8639696185584
"3355","DK000000","CAMR","FMAI","Y",32.8931189860384
"33561","DK000000","CAMR","FOFA","Y",4464.25886865945
"33571","DK000000","CAMR","FROO","Y",8.37279392371588
"33581","DK000000","CAMR","FCOM","Y",188.765532428553
"33591","DK000000","CAMR","FSTR","Y",151.742494413589
